# Wordlist

# DATA
ID	BRANCH	COGID	DOCULECT	IPA	OLD_TOKENS	NUMBER	LANGUAGENAME	CONCEPT	COGNATE_SCORE	COG	TOKENS
#
7942	ASLIAN	3	CheqWong	ʔiŋ	ʔiŋ	63	Cheq-Wong	I, me	1	I, me/1	ʔ i ŋ
7943	ASLIAN	14	JahHut	ʔihãʔ	ʔihãʔ	63	Jah-Hut	I, me	2	I, me/2	ʔ i h ã ʔ
7944	ASLIAN	15	Jahai	jɛʔ	jɛʔ	63	Jahai	I, me	3	I, me/3	j ɛ ʔ
7945	ASLIAN	15	Kensiw	jɛʔ	jɛʔ	63	Kensiw	I, me	3	I, me/3	j ɛ ʔ
7946	ASLIAN	16	MahMeri	ʔəʔə̤t	ʔəʔə̤t	63	Mah-Meri	I, me	4	I, me/4	ʔ ə ʔ ə̤ t
7947	ASLIAN	3	Maniq	ʔiɲ	ʔiɲ	63	Maniq	I, me	1	I, me/1	ʔ i ɲ
7948	ASLIAN	3	Semai	ʔɛŋ	ʔɛŋ	63	Semai	I, me	1	I, me/1	ʔ ɛ ŋ
7949	ASLIAN	3	Semelai	ʔəɲ	ʔəɲ	63	Semelai	I, me	1	I, me/1	ʔ ə ɲ
7950	ASLIAN	15	Semelai	jɛ	jɛ	63	Semelai	I, me	3	I, me/3	j ɛ
7951	ASLIAN	3	Semnam	ʔĩːɲ	ʔĩːɲ	63	Semnam	I, me	1	I, me/1	ʔ ĩː ɲ
7952	ASLIAN	15	Temiar	jeːʔ	jeːʔ	63	Temiar	I, me	3	I, me/3	j eː ʔ
7953	ASLIAN	15	Temiar	jʌiʔ	jʌiʔ	63	Temiar	I, me	3	I, me/3	j ʌ i ʔ
#
4	ASLIAN	22	Kensiw	samsu	samsu	1	Kensiw	alcohol/liquor	1	alcohol/liquor/1	s a ms u
#
137	ASLIAN	74	Semelai	ʔris	ʔris	2	Semelai	alive/live	2	alive/live/2	ʔ r i s
138	ASLIAN	63	Semnam	gɔːs	gɔːs	2	Semnam	alive/live	1	alive/live/1	g ɔː s
139	ASLIAN	63	Temiar	gos	gos	2	Temiar	alive/live	1	alive/live/1	g o s
133	ASLIAN	63	Kensiw	gɔs	gɔs	2	Kensiw	alive/live	1	alive/live/1	g ɔ s
135	ASLIAN	63	Maniq	gamɔs	gamɔs	2	Maniq	alive/live	1	alive/live/1	g a m ɔ s
130	ASLIAN	63	CheqWong	gɔs	gɔs	2	Cheq-Wong	alive/live	1	alive/live/1	g ɔ s
131	ASLIAN	74	JahHut	res	res	2	Jah-Hut	alive/live	2	alive/live/2	r e s
132	ASLIAN	63	Jahai	gɔs	gɔs	2	Jahai	alive/live	1	alive/live/1	g ɔ s
134	ASLIAN	74	MahMeri	ɰis	ɰis	2	Mah-Meri	alive/live	2	alive/live/2	ɰ i s
136	ASLIAN	84	Semai	sui	sui	2	Semai	alive/live	3	alive/live/3	s u i
#
257	ASLIAN	100	Jahai	bet	bet	3	Jahai	ant	1	ant/1	b e t
261	ASLIAN	111	Semai	las	las	3	Semai	ant	2	ant/2	l a s
262	ASLIAN	111	Semelai	lslɒs	lslɒs	3	Semelai	ant	2	ant/2	ls l ɒ s
263	ASLIAN	122	Semelai	smut	smut	3	Semelai	ant	3	ant/3	s m u t
264	ASLIAN	111	Semnam	las	las	3	Semnam	ant	2	ant/2	l a s
258	ASLIAN	111	Kensiw	les / leʃ	les	3	Kensiw	ant	2	ant/2	l e s
265	ASLIAN	100	Temiar	bət	bət	3	Temiar	ant	1	ant/1	b ə t
#
383	ASLIAN	129	Kensiw	lɔc	lɔc	4	Kensiw	arrow	1	arrow/1	l ɔ c
389	ASLIAN	129	Temiar	lʌg	lʌg	4	Temiar	arrow	1	arrow/1	l ʌ g
382	ASLIAN	129	Jahai	pucuk lɔc	pucuk#lɔc	4	Jahai	arrow	1	arrow/1	p u c u k # l ɔ c
#
508	ASLIAN	160	Kensiw	tapip	tapip	5	Kensiw	ashes	1	ashes/1	t a p i p
#
629	ASLIAN	217	JahHut	deŋ	deŋ	6	Jah-Hut	bamboo	3	bamboo/3	d e ŋ
631	ASLIAN	196	Kensiw	labɛh	labɛh	6	Kensiw	bamboo	1	bamboo/1	l a b ɛ h
632	ASLIAN	217	MahMeri	di̤k	di̤k	6	Mah-Meri	bamboo	3	bamboo/3	d i̤ k
634	ASLIAN	207	Semai	ʔawat	ʔawat	6	Semai	bamboo	2	bamboo/2	ʔ a w a t
635	ASLIAN	217	Semelai	diŋ	diŋ	6	Semelai	bamboo	3	bamboo/3	d i ŋ
636	ASLIAN	207	Semnam	ʔawɛ̃ːn	ʔawɛ̃ːn	6	Semnam	bamboo	2	bamboo/2	ʔ a w ɛ̃ː n
637	ASLIAN	207	Temiar	ʔawat / ʔawen	ʔawat	6	Temiar	bamboo	2	bamboo/2	ʔ a w a t
#
764	ASLIAN	263	JahHut	cjək	cjək	7	Jah-Hut	banana	6	banana/6	c j ə k
765	ASLIAN	258	Jahai	ɟaj	ɟaj	7	Jahai	banana	23	banana/23	ɟ a j
768	ASLIAN	259	MahMeri	hntɔʔ	hntɔʔ	7	Mah-Meri	banana	24	banana/24	h n t ɔ ʔ
770	ASLIAN	243	Semai	mamɔʔ	mamɔʔ	7	Semai	banana	1	banana/1	m a m ɔ ʔ
771	ASLIAN	254	Semelai	tluːj	tluːj	7	Semelai	banana	2	banana/2	t l uː j
772	ASLIAN	254	Semnam	tluːj	tluːj	7	Semnam	banana	2	banana/2	t l uː j
773	ASLIAN	254	Temiar	tʌlui	tʌlui	7	Temiar	banana	2	banana/2	t ʌ l u i
#
894	ASLIAN	267	Semnam	kacaːŋ	kacaːŋ	8	Semnam	beans/peas	1	beans/peas/1	k a c aː ŋ
#
1014	ASLIAN	293	Kensiw	kawap	kawap	9	Kensiw	bear	1	bear/1	k a w a p
1015	ASLIAN	304	MahMeri	bwa̤k	bwa̤k	9	Mah-Meri	bear	2	bear/2	b w a̤ k
1020	ASLIAN	308	Temiar	kawɪd	kawɪd	9	Temiar	bear	3	bear/3	k a w ɪ d
1017	ASLIAN	293	Semai	kawøp	kawøp	9	Semai	bear	1	bear/1	k a w ø p
1013	ASLIAN	293	Jahai	kawip	kawip	9	Jahai	bear	1	bear/1	k a w i p
1018	ASLIAN	304	Semelai	brwaŋ	brwaŋ	9	Semelai	bear	2	bear/2	b r w a ŋ
#
1136	ASLIAN	345	JahHut	tbʉl	tbʉl	10	Jah-Hut	bee/honeybee	39	bee/honeybee/39	t b ʉ l
1137	ASLIAN	315	Jahai	lbah lwɛj	lbah#lwɛj	10	Jahai	bee/honeybee	1	bee/honeybee/1	l b a h # l w ɛ j
1138	ASLIAN	326	Kensiw	padaw	padaw	10	Kensiw	bee/honeybee	2	bee/honeybee/2	p a d a w
1139	ASLIAN	337	MahMeri	sut	sut	10	Mah-Meri	bee/honeybee	3	bee/honeybee/3	s u t
1141	ASLIAN	315	Semai	lueɪ	lueɪ	10	Semai	bee/honeybee	1	bee/honeybee/1	l u e ɪ
1143	ASLIAN	315	Semnam	lwej	lwej	10	Semnam	bee/honeybee	1	bee/honeybee/1	l w e j
1144	ASLIAN	337	Temiar	sʌmuit	sʌmuit	10	Temiar	bee/honeybee	3	bee/honeybee/3	s ʌ m u i t
#
1262	ASLIAN	353	CheqWong	ʔac	ʔac	11	Cheq-Wong	belly/stomach	1	belly/stomach/1	ʔ a c
1263	ASLIAN	364	JahHut	ləpɛc	ləpɛc	11	Jah-Hut	belly/stomach	2	belly/stomach/2	l ə p ɛ c
1264	ASLIAN	353	Jahai	ʔɛc	ʔɛc	11	Jahai	belly/stomach	1	belly/stomach/1	ʔ ɛ c
1265	ASLIAN	353	Kensiw	ʔeɟ	ʔeɟ	11	Kensiw	belly/stomach	1	belly/stomach/1	ʔ e ɟ
1266	ASLIAN	357	MahMeri	ʔoʔoc	ʔoʔoc	11	Mah-Meri	belly/stomach	13	belly/stomach/13	ʔ o ʔ o c
1267	ASLIAN	375	Maniq	cɨŋ	cɨŋ	11	Maniq	belly/stomach	3	belly/stomach/3	c ɨ ŋ
1268	ASLIAN	353	Semai	ʔeɪt	ʔeɪt	11	Semai	belly/stomach	1	belly/stomach/1	ʔ e ɪ t
1269	ASLIAN	364	Semelai	lpəc	lpəc	11	Semelai	belly/stomach	2	belly/stomach/2	l p ə c
1270	ASLIAN	386	Semnam	kət	kət	11	Semnam	belly/stomach	4	belly/stomach/4	k ə t
1271	ASLIAN	353	Temiar	ʔeɟ	ʔeɟ	11	Temiar	belly/stomach	1	belly/stomach/1	ʔ e ɟ
#
1395	ASLIAN	405	JahHut	cɛm	cɛm	12	Jah-Hut	bird	2	bird/2	c ɛ m
1394	ASLIAN	395	CheqWong	kawaw	kawaw	12	Cheq-Wong	bird	1	bird/1	k a w a w
1396	ASLIAN	395	Jahai	kawaw	kawaw	12	Jahai	bird	1	bird/1	k a w a w
1397	ASLIAN	395	Kensiw	kawaw	kawaw	12	Kensiw	bird	1	bird/1	k a w a w
1398	ASLIAN	405	MahMeri	ci̤p	ci̤p	12	Mah-Meri	bird	2	bird/2	c i̤ p
1399	ASLIAN	395	Maniq	kawaw	kawaw	12	Maniq	bird	1	bird/1	k a w a w
1400	ASLIAN	405	Semai	cɛːbm	cɛːbm	12	Semai	bird	2	bird/2	c ɛː b m
1401	ASLIAN	405	Semelai	cim	cim	12	Semelai	bird	2	bird/2	c i m
1402	ASLIAN	405	Semnam	ceːm	ceːm	12	Semnam	bird	2	bird/2	c eː m
1403	ASLIAN	405	Temiar	cɛp	cɛp	12	Temiar	bird	2	bird/2	c ɛ p
#
1526	ASLIAN	417	Jahai	kdɛk	kdɛk	13	Jahai	bitter	1	bitter/1	k d ɛ k
1527	ASLIAN	417	Kensiw	kadɛk	kadɛk	13	Kensiw	bitter	1	bitter/1	k a d ɛ k
1528	ASLIAN	417	MahMeri	kdec	kdec	13	Mah-Meri	bitter	1	bitter/1	k d e c
1530	ASLIAN	417	Semai	kʌdeɪt	kʌdeɪt	13	Semai	bitter	1	bitter/1	k ʌ d e ɪ t
1533	ASLIAN	417	Temiar	kʌdeg	kʌdeg	13	Temiar	bitter	1	bitter/1	k ʌ d e g
1525	ASLIAN	417	JahHut	kdɛk	kdɛk	13	Jah-Hut	bitter	1	bitter/1	k d ɛ k
1532	ASLIAN	417	Semnam	kdɛk	kdɛk	13	Semnam	bitter	1	bitter/1	k d ɛ k
#
1648	ASLIAN	437	JahHut	priɲ	priɲ	14	Jah-Hut	black	16	black/16	p r i ɲ
1649	ASLIAN	430	Jahai	gcĩh	gcĩh	14	Jahai	black	1	black/1	g c ĩ h
1650	ASLIAN	441	Kensiw	bəltɛ̃k	bəltɛ̃k	14	Kensiw	black	2	black/2	b ə l t ɛ̃ k
1651	ASLIAN	470	MahMeri	bəkɔ͂ʔ	bəkɔ͂ʔ	14	Mah-Meri	black	47	black/47	b ə k ɔ͂ ʔ
1653	ASLIAN	451	Semai	blʔak	blʔak	14	Semai	black	3	black/3	b l ʔ a k
1654	ASLIAN	462	Semelai	bəlʔur	bəlʔur	14	Semelai	black	4	black/4	b ə l ʔ u r
1655	ASLIAN	430	Semnam	gcɛ̃h	gcɛ̃h	14	Semnam	black	1	black/1	g c ɛ̃ h
1656	ASLIAN	471	Temiar	reŋah	reŋah	14	Temiar	black	5	black/5	r e ŋ a h
#
1774	ASLIAN	476	CheqWong	mhə̃m	mhə̃m	15	Cheq-Wong	blood	1	blood/1	mh ə̃ m
1775	ASLIAN	476	JahHut	nəhim	nəhim	15	Jah-Hut	blood	1	blood/1	n ə h i m
1776	ASLIAN	476	Jahai	bhɨ̃m	bhɨ̃m	15	Jahai	blood	1	blood/1	bh ɨ̃ m
1778	ASLIAN	476	Kensiw	məhɯm	məhɯm	15	Kensiw	blood	1	blood/1	m ə h ɯ m
1780	ASLIAN	476	Maniq	mahɨ̃m	mahɨ̃m	15	Maniq	blood	1	blood/1	m a h ɨ̃ m
1781	ASLIAN	476	Semai	bhiːpm	bhiːpm	15	Semai	blood	1	blood/1	bh iː p m
1782	ASLIAN	476	Semelai	maham	maham	15	Semelai	blood	1	blood/1	m a h a m
1779	ASLIAN	476	MahMeri	maham	maham	15	Mah-Meri	blood	1	blood/1	m a h a m
#
1903	ASLIAN	481	Kensiw	jake̝ʔ	jake̝ʔ	16	Kensiw	boat	1	boat/1	j a k e̝ ʔ
#
2026	ASLIAN	501	Jahai	sɔk	sɔk	17	Jahai	body hair/feathers	1	body hair/feathers/1	s ɔ k
2027	ASLIAN	501	Kensiw	sok	sok	17	Kensiw	body hair/feathers	1	body hair/feathers/1	s o k
2028	ASLIAN	501	MahMeri	sup / suk	sup	17	Mah-Meri	body hair/feathers	1	body hair/feathers/1	s u p
2029	ASLIAN	501	Maniq	sɔk	sɔk	17	Maniq	body hair/feathers	1	body hair/feathers/1	s ɔ k
2030	ASLIAN	512	Semai	sʌntɔl	sʌntɔl	17	Semai	body hair/feathers	2	body hair/feathers/2	s ʌ n t ɔ l
2032	ASLIAN	512	Semnam	sntɔːl	sntɔːl	17	Semnam	body hair/feathers	2	body hair/feathers/2	s n t ɔː l
2034	ASLIAN	501	Alak	sɔk	sɔk	17	Alak	body hair/feathers	1	body hair/feathers/1	s ɔ k
2035	ASLIAN	501	Alak	sasɔk	sasɔk	17	Alak	body hair/feathers	1	body hair/feathers/1	s a s ɔ k
2024	ASLIAN	501	CheqWong	sɔk	sɔk	17	Cheq-Wong	body hair/feathers	1	body hair/feathers/1	s ɔ k
2025	ASLIAN	501	JahHut	sɔk	sɔk	17	Jah-Hut	body hair/feathers	1	body hair/feathers/1	s ɔ k
2031	ASLIAN	501	Semelai	suk	suk	17	Semelai	body hair/feathers	1	body hair/feathers/1	s u k
2033	ASLIAN	512	Temiar	sentol	sentol	17	Temiar	body hair/feathers	2	body hair/feathers/2	s e n t o l
#
2162	ASLIAN	532	Semnam	ɟʔaːŋ	ɟʔaːŋ	18	Semnam	bone	1	bone/1	ɟ ʔ aː ŋ
2163	ASLIAN	532	Temiar	ɟəʔaːk	ɟəʔaːk	18	Temiar	bone	1	bone/1	ɟ ə ʔ aː k
2154	ASLIAN	532	CheqWong	jʔeŋ	jʔeŋ	18	Cheq-Wong	bone	1	bone/1	j ʔ e ŋ
2155	ASLIAN	532	JahHut	jəʔaŋ	jəʔaŋ	18	Jah-Hut	bone	1	bone/1	j ə ʔ a ŋ
2156	ASLIAN	532	Jahai	ɟʔeŋ	ɟʔeŋ	18	Jahai	bone	1	bone/1	ɟ ʔ e ŋ
2157	ASLIAN	532	Kensiw	ʔijeŋ	ʔijeŋ	18	Kensiw	bone	1	bone/1	ʔ i j e ŋ
2158	ASLIAN	532	MahMeri	jəʔa̤̤k	jəʔa̤̤k	18	Mah-Meri	bone	1	bone/1	j ə ʔ a̤̤ k
2159	ASLIAN	532	Maniq	ʔiyeŋ	ʔiyeŋ	18	Maniq	bone	1	bone/1	ʔ i y e ŋ
2160	ASLIAN	532	Semai	ɟʔaːkŋ	ɟʔaːkŋ	18	Semai	bone	1	bone/1	ɟ ʔ aː k ŋ
2161	ASLIAN	532	Semelai	ɟəʔaŋ	ɟəʔaŋ	18	Semelai	bone	1	bone/1	ɟ ə ʔ a ŋ
#
2279	ASLIAN	541	Jahai	lɔc	lɔc	19	Jahai	bow, crossbow	1	bow, crossbow/1	l ɔ c
2280	ASLIAN	541	Kensiw	lɔc	lɔc	19	Kensiw	bow, crossbow	1	bow, crossbow/1	l ɔ c
2283	ASLIAN	552	Semai	tʊndɔʔ	tʊndɔʔ	19	Semai	bow, crossbow	2	bow, crossbow/2	t ʊ n d ɔ ʔ
2286	ASLIAN	541	Temiar	lɔiɟ	lɔiɟ	19	Temiar	bow, crossbow	1	bow, crossbow/1	l ɔ i ɟ
#
2419	ASLIAN	571	Semnam	lakuoːm	lakuoːm	20	Semnam	brain	1	brain/1	l a k u oː m
2413	ASLIAN	571	Jahai	lkɛm	lkɛm	20	Jahai	brain	1	brain/1	l k ɛ m
2414	ASLIAN	571	Kensiw	lakiam	lakiam	20	Kensiw	brain	1	brain/1	l a k i a m
2415	ASLIAN	596	MahMeri	ʔatɔk	ʔatɔk	20	Mah-Meri	brain	5	brain/5	ʔ a t ɔ k
2417	ASLIAN	582	Semai	kʌlop	kʌlop	20	Semai	brain	2	brain/2	k ʌ l o p
2420	ASLIAN	593	Temiar	ʔumog	ʔumog	20	Temiar	brain	3	brain/3	ʔ u m o g
#
2541	ASLIAN	601	Kensiw	jo̝h ʔihuʔ	jo̝h#ʔihuʔ	21	Kensiw	branch	1	branch/1	j o̝ h # ʔ i h u ʔ
2542	ASLIAN	601	MahMeri	ɰɔh	ɰɔh	21	Mah-Meri	branch	1	branch/1	ɰ ɔ h
2544	ASLIAN	612	Semai	tabaʔ	tabaʔ	21	Semai	branch	2	branch/2	t a b a ʔ
2545	ASLIAN	623	Semelai	rɔh	rɔh	21	Semelai	branch	3	branch/3	r ɔ h
2546	ASLIAN	612	Semnam	tmaʔ	tmaʔ	21	Semnam	branch	2	branch/2	t m a ʔ
2547	ASLIAN	612	Temiar	tabaʔ	tabaʔ	21	Temiar	branch	2	branch/2	t a b a ʔ
#
2678	ASLIAN	662	Temiar	mem	mem	22	Temiar	breast	4	breast/4	m e m
2669	ASLIAN	642	CheqWong	buʔ	buʔ	22	Cheq-Wong	breast	1	breast/1	b u ʔ
2670	ASLIAN	642	JahHut	buʔ	buʔ	22	Jah-Hut	breast	1	breast/1	b u ʔ
2671	ASLIAN	653	Jahai	ʔɛ̃m	ʔɛ̃m	22	Jahai	breast	2	breast/2	ʔ ɛ̃ m
2672	ASLIAN	653	Kensiw	ʔam	ʔam	22	Kensiw	breast	2	breast/2	ʔ a m
2673	ASLIAN	661	MahMeri	tuh	tuh	22	Mah-Meri	breast	3	breast/3	t u h
2674	ASLIAN	662	Maniq	mam	mam	22	Maniq	breast	4	breast/4	m a m
2675	ASLIAN	661	Semai	ntʌh	ntʌh	22	Semai	breast	3	breast/3	n t ʌ h
2677	ASLIAN	662	Semnam	mɛːm	mɛːm	22	Semnam	breast	4	breast/4	m ɛː m
2676	ASLIAN	661	Semelai	tuh	tuh	22	Semelai	breast	3	breast/3	t u h
#
2920	ASLIAN	685	CheqWong	wɔŋ	wɔŋ	24	Cheq-Wong	child/son	1	child/son/1	w ɔ ŋ
2921	ASLIAN	693	JahHut	ʔiwãʔ	ʔiwãʔ	24	Jah-Hut	child/son	2	child/son/2	ʔ i w ã ʔ
2922	ASLIAN	685	Jahai	wɔŋ	wɔŋ	24	Jahai	child/son	1	child/son/1	w ɔ ŋ
2923	ASLIAN	685	Kensiw	wɔgŋ	wɔgŋ	24	Kensiw	child/son	1	child/son/1	w ɔ g ŋ
2924	ASLIAN	694	MahMeri	kənɔn	kənɔn	24	Mah-Meri	child/son	3	child/son/3	k ə n ɔ n
2925	ASLIAN	685	Maniq	wɔŋ	wɔŋ	24	Maniq	child/son	1	child/son/1	w ɔ ŋ
2926	ASLIAN	694	Semai	kʌnɔn	kʌnɔn	24	Semai	child/son	3	child/son/3	k ʌ n ɔ n
2927	ASLIAN	694	Semelai	knkɔn	knkɔn	24	Semelai	child/son	3	child/son/3	k n k ɔ n
2928	ASLIAN	694	Semnam	kuoːn	kuoːn	24	Semnam	child/son	3	child/son/3	k u oː n
2929	ASLIAN	694	Temiar	kəwɔt	kəwɔt	24	Temiar	child/son	3	child/son/3	k ə w ɔ t
#
3049	ASLIAN	702	CheqWong	ʔɑl	ʔɑl	25	Cheq-Wong	cloud	1	cloud/1	ʔ ɑ l
3050	ASLIAN	713	JahHut	kabut	kabut	25	Jah-Hut	cloud	2	cloud/2	k a b u t
3051	ASLIAN	724	Jahai	sagup	sagup	25	Jahai	cloud	3	cloud/3	s a g u p
3052	ASLIAN	702	Kensiw	ʔal	ʔal	25	Kensiw	cloud	1	cloud/1	ʔ a l
3053	ASLIAN	713	MahMeri	kabut	kabut	25	Mah-Meri	cloud	2	cloud/2	k a b u t
3054	ASLIAN	702	Maniq	ʔal	ʔal	25	Maniq	cloud	1	cloud/1	ʔ a l
3055	ASLIAN	724	Semai	sagup	sagup	25	Semai	cloud	3	cloud/3	s a g u p
3056	ASLIAN	732	Semelai	tɔm ʔareʔ	tɔm#ʔareʔ	25	Semelai	cloud	4	cloud/4	t ɔ m # ʔ a r e ʔ
3057	ASLIAN	724	Semnam	saguP	saguP	25	Semnam	cloud	3	cloud/3	s a g u P
3058	ASLIAN	724	Temiar	sagub	sagub	25	Temiar	cloud	3	cloud/3	s a g u b
#
3181	ASLIAN	760	Semelai	sədəc	sədəc	26	Semelai	cold	3	cold/3	s ə d ə c
3175	ASLIAN	749	JahHut	sŋɛc	sŋɛc	26	Jah-Hut	cold	2	cold/2	s ŋ ɛ c
3176	ASLIAN	738	Jahai	təmkɛt	təmkɛt	26	Jahai	cold	1	cold/1	t ə m k ɛ t
3177	ASLIAN	749	Kensiw	həŋɛc	həŋɛc	26	Kensiw	cold	2	cold/2	h ə ŋ ɛ c
3178	ASLIAN	781	MahMeri	ʔapẽc	ʔapẽc	26	Mah-Meri	cold	5	cold/5	ʔ a p ẽ c
3180	ASLIAN	749	Semai	sŋɛc	sŋɛc	26	Semai	cold	2	cold/2	s ŋ ɛ c
3182	ASLIAN	771	Semnam	sɟuːʔ	sɟuːʔ	26	Semnam	cold	4	cold/4	s ɟ uː ʔ
3183	ASLIAN	749	Temiar	sʌŋeɟ	sʌŋeɟ	26	Temiar	cold	2	cold/2	s ʌ ŋ e ɟ
#
3319	ASLIAN	795	Kensiw	ʔeʔ	ʔeʔ	27	Kensiw	dog	3	dog/3	ʔ e ʔ
3322	ASLIAN	794	Semai	coːʔ	coːʔ	27	Semai	dog	2	dog/2	c oː ʔ
3316	ASLIAN	792	CheqWong	ʔɛ̃ŋ	ʔɛ̃ŋ	27	Cheq-Wong	dog	1	dog/1	ʔ ɛ̃ ŋ
3320	ASLIAN	794	MahMeri	caw	caw	27	Mah-Meri	dog	2	dog/2	c a w
3323	ASLIAN	794	Semelai	cɔ	cɔ	27	Semelai	dog	2	dog/2	c ɔ
3324	ASLIAN	794	Semnam	cuoːʔ	cuoːʔ	27	Semnam	dog	2	dog/2	c u oː ʔ
3325	ASLIAN	794	Semnam	ʔacɛ̃ʔ	ʔacɛ̃ʔ	27	Semnam	dog	2	dog/2	ʔ a c ɛ̃ ʔ
3326	ASLIAN	794	Temiar	cəwɔʔ	cəwɔʔ	27	Temiar	dog	2	dog/2	c ə w ɔ ʔ
3317	ASLIAN	794	JahHut	cwəʔ	cwəʔ	27	Jah-Hut	dog	2	dog/2	c w ə ʔ
3318	ASLIAN	794	Jahai	ʔəciʔ	ʔəciʔ	27	Jahai	dog	2	dog/2	ʔ ə c i ʔ
3321	ASLIAN	795	Maniq	ʔeʔ	ʔeʔ	27	Maniq	dog	3	dog/3	ʔ e ʔ
#
3442	ASLIAN	802	Kensiw	kəxe̝gŋ	kəxe̝gŋ	28	Kensiw	dry	1	dry/1	k ə x e̝ g ŋ
3449	ASLIAN	845	Semai	sʌkul	sʌkul	28	Semai	dry	5	dry/5	s ʌ k u l
3453	ASLIAN	824	Temiar	sod	sod	28	Temiar	dry	3	dry/3	s o d
3452	ASLIAN	856	Semnam	sjeːt	sjeːt	28	Semnam	dry	6	dry/6	s j eː t
3441	ASLIAN	802	Jahai	kriŋ	kriŋ	28	Jahai	dry	1	dry/1	k r i ŋ
3443	ASLIAN	813	Kensiw	kasɛw	kasɛw	28	Kensiw	dry	2	dry/2	k a s ɛ w
3444	ASLIAN	824	Kensiw	sat	sat	28	Kensiw	dry	3	dry/3	s a t
3447	ASLIAN	824	Semai	soʊt	soʊt	28	Semai	dry	3	dry/3	s o ʊ t
3448	ASLIAN	834	Semai	hɔɪt	hɔɪt	28	Semai	dry	4	dry/4	h ɔ ɪ t
3450	ASLIAN	802	Semelai	kreŋ	kreŋ	28	Semelai	dry	1	dry/1	k r e ŋ
3451	ASLIAN	802	Semnam	kjeːŋ	kjeːŋ	28	Semnam	dry	1	dry/1	k j eː ŋ
3454	ASLIAN	867	Temiar	kaɹʌh	kaɹʌh	28	Temiar	dry	7	dry/7	k a ɹ ʌ h
#
3613	ASLIAN	871	Kensiw	ʔənteŋ	ʔənteŋ	29	Kensiw	ear	1	ear/1	ʔ ə n t e ŋ
3614	ASLIAN	871	MahMeri	tə̤k	tə̤k	29	Mah-Meri	ear	1	ear/1	t ə̤ k
3619	ASLIAN	871	Temiar	gɛntɔk	gɛntɔk	29	Temiar	ear	1	ear/1	g ɛ n t ɔ k
3610	ASLIAN	871	CheqWong	hntaŋ	hntaŋ	29	Cheq-Wong	ear	1	ear/1	h n t a ŋ
3611	ASLIAN	871	JahHut	ntaŋ	ntaŋ	29	Jah-Hut	ear	1	ear/1	n t a ŋ
3612	ASLIAN	871	Jahai	ʔnteŋ	ʔnteŋ	29	Jahai	ear	1	ear/1	ʔ n t e ŋ
3615	ASLIAN	871	Maniq	ʔantɛŋ	ʔantɛŋ	29	Maniq	ear	1	ear/1	ʔ a n t ɛ ŋ
3616	ASLIAN	871	Semai	ntaʔ	ntaʔ	29	Semai	ear	1	ear/1	n t a ʔ
3617	ASLIAN	871	Semelai	təŋ	təŋ	29	Semelai	ear	1	ear/1	t ə ŋ
3618	ASLIAN	871	Semnam	kntɔK	kntɔK	29	Semnam	ear	1	ear/1	k n t ɔ K
#
3732	ASLIAN	886	CheqWong	tɛʔ	tɛʔ	30	Cheq-Wong	earth (soil)	1	earth (soil)/1	t ɛ ʔ
3733	ASLIAN	886	JahHut	teʔ	teʔ	30	Jah-Hut	earth (soil)	1	earth (soil)/1	t e ʔ
3734	ASLIAN	886	Jahai	teʔ	teʔ	30	Jahai	earth (soil)	1	earth (soil)/1	t e ʔ
3735	ASLIAN	886	Kensiw	tieʔ	tieʔ	30	Kensiw	earth (soil)	1	earth (soil)/1	t i e ʔ
3736	ASLIAN	886	MahMeri	teʔ	teʔ	30	Mah-Meri	earth (soil)	1	earth (soil)/1	t e ʔ
3737	ASLIAN	886	Maniq	tieʔ	tieʔ	30	Maniq	earth (soil)	1	earth (soil)/1	t i e ʔ
3738	ASLIAN	886	Semai	teːʔ	teːʔ	30	Semai	earth (soil)	1	earth (soil)/1	t eː ʔ
3739	ASLIAN	886	Semelai	ʔatɛ	ʔatɛ	30	Semelai	earth (soil)	1	earth (soil)/1	ʔ a t ɛ
3740	ASLIAN	897	Semnam	brɛh	brɛh	30	Semnam	earth (soil)	2	earth (soil)/2	b r ɛ h
3741	ASLIAN	886	Temiar	tɛʔ	tɛʔ	30	Temiar	earth (soil)	1	earth (soil)/1	t ɛ ʔ
#
3859	ASLIAN	912	CheqWong	ktuət	ktuət	31	Cheq-Wong	egg	1	egg/1	k t u ə t
